time,T [Nm],w [rad/s]
0,0,0
3.1652e-30,-1.4202e-24,-1.5826e-26
1.8398e-09,-0.00082553,-9.2064e-06
1.1039e-08,-0.0049531,-5.5466e-05
5.7033e-08,-0.02559,-0.00029246
1.0303e-07,-0.046224,-0.00053895
1.6579e-07,-0.074376,-0.00089059
2.4792e-07,-0.11121,-0.0013775
3.5177e-07,-0.15777,-0.0020364
4.794e-07,-0.21498,-0.0029124
6.3256e-07,-0.28362,-0.00406
7.8572e-07,-0.35222,-0.0053127
9.8974e-07,-0.44356,-0.0071446
1.1938e-06,-0.53486,-0.0091628
1.4518e-06,-0.65026,-0.011982
1.7098e-06,-0.76558,-0.015098
2.0228e-06,-0.90539,-0.019279
2.3358e-06,-1.0451,-0.023896
2.6488e-06,-1.1847,-0.028951
3.0398e-06,-1.3589,-0.035878
3.4308e-06,-1.5329,-0.043486
3.8218e-06,-1.7068,-0.051774
4.2127e-06,-1.8805,-0.060741
4.6998e-06,-2.0966,-0.072861
5.1869e-06,-2.3125,-0.086034
5.6739e-06,-2.5281,-0.10026
6.161e-06,-2.7435,-0.11553
6.648e-06,-2.9586,-0.13185
7.2436e-06,-3.2212,-0.15323
7.8392e-06,-3.4835,-0.17617
8.4347e-06,-3.7454,-0.20067
9.0303e-06,-4.0069,-0.22674
9.6258e-06,-4.268,-0.25435
1.0221e-05,-4.5287,-0.28352
1.0817e-05,-4.789,-0.31425
1.1413e-05,-5.049,-0.34652
1.2008e-05,-5.3085,-0.38034
1.2604e-05,-5.5677,-0.4157
1.3199e-05,-5.8265,-0.4526
1.3795e-05,-6.0849,-0.49105
1.439e-05,-6.3429,-0.53103
1.4986e-05,-6.6006,-0.57255
1.5581e-05,-6.8579,-0.6156
1.6177e-05,-7.1147,-0.66018
1.6773e-05,-7.3712,-0.70629
1.7368e-05,-7.6273,-0.75393
1.7964e-05,-7.8831,-0.80309
1.8559e-05,-8.1384,-0.85377
1.9155e-05,-8.3934,-0.90597
1.975e-05,-8.648,-0.95969
2.0346e-05,-8.9022,-1.0149
2.0941e-05,-9.1561,-1.0717
2.1537e-05,-9.4096,-1.1299
2.2133e-05,-9.6626,-1.1897
2.2728e-05,-9.9154,-1.251
2.3324e-05,-10.168,-1.3137
2.3919e-05,-10.42,-1.378
2.4515e-05,-10.671,-1.4438
2.511e-05,-10.922,-1.511
2.5706e-05,-11.173,-1.5798
2.6301e-05,-11.424,-1.6501
2.6897e-05,-11.674,-1.7218
2.7493e-05,-11.924,-1.7951
2.8088e-05,-12.173,-1.8698
2.8684e-05,-12.422,-1.946
2.9279e-05,-12.671,-2.0237
2.9875e-05,-12.919,-2.1028
3.047e-05,-13.167,-2.1835
3.1066e-05,-13.414,-2.2656
3.1661e-05,-13.661,-2.3492
3.2257e-05,-13.908,-2.4342
3.2853e-05,-14.154,-2.5208
3.3448e-05,-14.4,-2.6088
3.4044e-05,-14.646,-2.6982
3.4639e-05,-14.891,-2.7891
3.5235e-05,-15.136,-2.8815
3.583e-05,-15.381,-2.9753
3.6426e-05,-15.625,-3.0706
3.7021e-05,-15.869,-3.1674
3.7617e-05,-16.112,-3.2656
3.8213e-05,-16.356,-3.3652
3.8808e-05,-16.598,-3.4663
3.9404e-05,-16.841,-3.5688
3.9999e-05,-17.083,-3.6728
4.0595e-05,-17.324,-3.7782
4.119e-05,-17.566,-3.8851
4.1786e-05,-17.807,-3.9934
4.2382e-05,-18.047,-4.1031
4.2977e-05,-18.287,-4.2142
4.3573e-05,-18.527,-4.3268
4.4291e-05,-18.816,-4.4645
4.5009e-05,-19.104,-4.6042
4.5727e-05,-19.392,-4.746
4.6445e-05,-19.679,-4.8898
4.7163e-05,-19.966,-5.0357
4.7882e-05,-20.252,-5.1837
4.86e-05,-20.538,-5.3337
4.9318e-05,-20.823,-5.4858
5.0036e-05,-21.107,-5.6399
5.0754e-05,-21.392,-5.7961
5.1472e-05,-21.675,-5.9543
5.2191e-05,-21.958,-6.1145
5.2909e-05,-22.241,-6.2768
5.3627e-05,-22.523,-6.441
5.4345e-05,-22.804,-6.6074
5.5063e-05,-23.086,-6.7757
5.5782e-05,-23.366,-6.946
5.65e-05,-23.646,-7.1184
5.7218e-05,-23.926,-7.2927
5.809e-05,-24.264,-7.5072
5.8962e-05,-24.602,-7.7246
