time,T [Nm],w [rad/s]
0,0,0
3.1652e-30,-7.1213e-23,-1.5826e-26
1.8398e-09,-0.041393,-9.5796e-06
1.1039e-08,-0.24835,-6.89e-05
5.7033e-08,-1.2831,-0.00065106
1.0303e-07,-2.3177,-0.0017091
1.6579e-07,-3.7293,-0.0039205
2.4792e-07,-5.5762,-0.0081526
3.5177e-07,-7.9108,-0.015675
4.794e-07,-10.779,-0.02824
6.3256e-07,-14.22,-0.04815
7.8572e-07,-17.659,-0.073328
9.8974e-07,-22.237,-0.11505
1.1938e-06,-26.812,-0.1661
1.4518e-06,-32.593,-0.24403
1.7098e-06,-38.367,-0.33686
2.0228e-06,-45.365,-0.46947
2.3358e-06,-52.352,-0.62398
2.6488e-06,-59.329,-0.80034
3.0398e-06,-68.028,-1.0513
3.4308e-06,-76.707,-1.3361
3.8218e-06,-85.366,-1.6549
4.2127e-06,-94.004,-2.0075
4.6998e-06,-104.73,-2.4939
5.1869e-06,-115.42,-3.0325
5.6739e-06,-126.07,-3.6231
6.161e-06,-136.68,-4.2654
6.648e-06,-147.24,-4.9592
7.2436e-06,-160.09,-5.8774
7.8392e-06,-172.86,-6.8718
8.4347e-06,-185.56,-7.9421
9.0303e-06,-198.16,-9.0877
9.6258e-06,-210.68,-10.308
1.0221e-05,-223.11,-11.603
1.0817e-05,-235.44,-12.971
1.1413e-05,-247.66,-14.413
1.2008e-05,-259.78,-15.927
1.2604e-05,-271.79,-17.512
1.3199e-05,-283.68,-19.169
1.3795e-05,-295.46,-20.897
1.439e-05,-307.11,-22.694
1.4986e-05,-318.64,-24.56
1.5581e-05,-330.04,-26.495
1.6177e-05,-341.3,-28.497
1.6773e-05,-352.42,-30.565
1.7368e-05,-363.41,-32.7
1.7964e-05,-374.24,-34.899
1.8559e-05,-384.93,-37.163
1.9155e-05,-395.47,-39.489
1.975e-05,-405.85,-41.878
2.0346e-05,-416.07,-44.328
2.0941e-05,-426.12,-46.839
2.1537e-05,-436.01,-49.409
2.2133e-05,-445.73,-52.037
2.2728e-05,-455.28,-54.723
2.3324e-05,-464.65,-57.465
2.3919e-05,-473.84,-60.262
2.4515e-05,-482.85,-63.114
2.511e-05,-491.68,-66.018
2.5706e-05,-500.32,-68.975
2.6301e-05,-508.76,-71.982
2.6897e-05,-517.01,-75.04
2.7493e-05,-525.07,-78.145
2.8088e-05,-532.93,-81.298
2.8684e-05,-540.59,-84.498
2.9279e-05,-548.04,-87.742
2.9875e-05,-555.29,-91.03
3.047e-05,-562.32,-94.36
3.1066e-05,-569.15,-97.732
3.1661e-05,-575.77,-101.14
3.2257e-05,-582.17,-104.59
3.2853e-05,-588.35,-108.08
3.3448e-05,-594.31,-111.61
3.4044e-05,-600.06,-115.17
3.4639e-05,-605.58,-118.76
3.5235e-05,-610.88,-122.38
3.583e-05,-615.95,-126.04
3.6426e-05,-620.8,-129.72
3.7021e-05,-625.41,-133.44
3.7617e-05,-629.8,-137.18
3.8213e-05,-633.96,-140.94
3.8808e-05,-637.88,-144.73
3.9404e-05,-641.57,-148.54
3.9999e-05,-645.03,-152.38
4.0595e-05,-648.25,-156.23
4.119e-05,-651.23,-160.1
4.1786e-05,-653.98,-163.99
4.2382e-05,-656.49,-167.89
4.2977e-05,-658.76,-171.81
4.3573e-05,-660.8,-175.74
4.4291e-05,-662.93,-180.5
4.5009e-05,-664.71,-185.27
4.5727e-05,-666.15,-190.05
4.6445e-05,-667.24,-194.84
4.7163e-05,-667.97,-199.64
4.7882e-05,-668.36,-204.44
4.86e-05,-668.4,-209.24
4.9318e-05,-668.09,-214.04
5.0036e-05,-667.44,-218.84
5.0754e-05,-666.44,-223.63
5.1472e-05,-665.09,-228.42
5.2191e-05,-663.39,-233.19
5.2909e-05,-661.36,-237.95
5.3627e-05,-658.98,-242.69
5.4345e-05,-656.26,-247.42
5.5063e-05,-653.2,-252.12
5.5782e-05,-649.81,-256.8
5.65e-05,-646.08,-261.46
5.7218e-05,-642.02,-266.08
5.809e-05,-636.65,-271.66
5.8962e-05,-630.79,-277.19
5.9834e-05,-624.46,-282.67
6.0707e-05,-617.66,-288.08
6.1579e-05,-610.4,-293.44
6.2451e-05,-602.68,-298.73
6.3323e-05,-594.5,-303.96
6.4195e-05,-585.88,-309.11
6.5067e-05,-576.83,-314.18
6.594e-05,-567.34,-319.17
6.7001e-05,-555.23,-325.13
6.8061e-05,-542.51,-330.95
6.9122e-05,-529.2,-336.64
7.0183e-05,-515.31,-342.18
7.1244e-05,-500.85,-347.57
7.2305e-05,-485.85,-352.81
7.3594e-05,-466.93,-358.95
7.4882e-05,-447.27,-364.84
7.617e-05,-426.89,-370.47
7.7459e-05,-405.84,-375.84
7.8747e-05,-384.15,-380.93
8.0035e-05,-361.86,-385.74
