time,T [Nm],w [rad/s]
0,0,0
3.1652e-30,-1.4193e-24,-1.5826e-26
1.8398e-09,-0.00082497,-9.2064e-06
1.1039e-08,-0.0049497,-5.5466e-05
5.7033e-08,-0.025572,-0.00029246
1.0303e-07,-0.046192,-0.00053893
1.6579e-07,-0.074325,-0.00089055
2.4792e-07,-0.11114,-0.0013774
3.5177e-07,-0.15767,-0.0020362
4.794e-07,-0.21484,-0.0029121
6.3256e-07,-0.28342,-0.0040594
7.8572e-07,-0.35198,-0.0053118
9.8974e-07,-0.44326,-0.0071431
1.1938e-06,-0.5345,-0.0091606
1.4518e-06,-0.64982,-0.011979
1.7098e-06,-0.76506,-0.015094
2.0228e-06,-0.90477,-0.019272
2.3358e-06,-1.0444,-0.023888
2.6488e-06,-1.1839,-0.028941
3.0398e-06,-1.3579,-0.035864
3.4308e-06,-1.5319,-0.043468
3.8218e-06,-1.7056,-0.051751
4.2127e-06,-1.8792,-0.060714
4.6998e-06,-2.0952,-0.072828
5.1869e-06,-2.3109,-0.085993
5.6739e-06,-2.5264,-0.10021
6.161e-06,-2.7416,-0.11547
6.648e-06,-2.9566,-0.13178
7.2436e-06,-3.219,-0.15315
7.8392e-06,-3.4811,-0.17608
8.4347e-06,-3.7428,-0.20057
9.0303e-06,-4.0041,-0.22661
9.6258e-06,-4.2651,-0.25421
1.0221e-05,-4.5256,-0.28337
1.0817e-05,-4.7858,-0.31407
1.1413e-05,-5.0455,-0.34632
1.2008e-05,-5.3049,-0.38012
1.2604e-05,-5.5639,-0.41546
1.3199e-05,-5.8226,-0.45234
1.3795e-05,-6.0808,-0.49076
1.439e-05,-6.3386,-0.53072
1.4986e-05,-6.5961,-0.57221
1.5581e-05,-6.8532,-0.61523
1.6177e-05,-7.1099,-0.65979
1.6773e-05,-7.3662,-0.70587
1.7368e-05,-7.6222,-0.75347
1.7964e-05,-7.8777,-0.8026
1.8559e-05,-8.1329,-0.85325
1.9155e-05,-8.3877,-0.90542
1.975e-05,-8.6421,-0.9591
2.0346e-05,-8.8962,-1.0143
2.0941e-05,-9.1499,-1.071
2.1537e-05,-9.4032,-1.1292
2.2133e-05,-9.6561,-1.189
2.2728e-05,-9.9086,-1.2502
2.3324e-05,-10.161,-1.3129
2.3919e-05,-10.413,-1.3771
2.4515e-05,-10.664,-1.4429
2.511e-05,-10.915,-1.5101
2.5706e-05,-11.166,-1.5788
2.6301e-05,-11.416,-1.649
2.6897e-05,-11.666,-1.7207
2.7493e-05,-11.915,-1.7939
2.8088e-05,-12.165,-1.8686
2.8684e-05,-12.413,-1.9448
2.9279e-05,-12.662,-2.0224
2.9875e-05,-12.91,-2.1015
3.047e-05,-13.158,-2.1821
3.1066e-05,-13.405,-2.2642
3.1661e-05,-13.652,-2.3477
3.2257e-05,-13.899,-2.4327
3.2853e-05,-14.145,-2.5192
3.3448e-05,-14.391,-2.6071
3.4044e-05,-14.636,-2.6965
3.4639e-05,-14.881,-2.7874
3.5235e-05,-15.126,-2.8797
3.583e-05,-15.37,-2.9734
3.6426e-05,-15.615,-3.0687
3.7021e-05,-15.858,-3.1654
3.7617e-05,-16.101,-3.2635
3.8213e-05,-16.344,-3.3631
3.8808e-05,-16.587,-3.4641
3.9404e-05,-16.829,-3.5665
3.9999e-05,-17.071,-3.6704
4.0595e-05,-17.313,-3.7758
4.119e-05,-17.554,-3.8826
4.1786e-05,-17.795,-3.9908
4.2382e-05,-18.035,-4.1004
4.2977e-05,-18.275,-4.2115
4.3573e-05,-18.515,-4.324
4.4291e-05,-18.803,-4.4616
4.5009e-05,-19.091,-4.6012
4.5727e-05,-19.379,-4.7429
4.6445e-05,-19.666,-4.8867
4.7163e-05,-19.952,-5.0325
4.7882e-05,-20.238,-5.1804
4.86e-05,-20.524,-5.3303
4.9318e-05,-20.809,-5.4822
5.0036e-05,-21.093,-5.6363
5.0754e-05,-21.377,-5.7923
5.1472e-05,-21.66,-5.9504
5.2191e-05,-21.943,-6.1105
5.2909e-05,-22.226,-6.2727
5.3627e-05,-22.508,-6.4369
5.4345e-05,-22.789,-6.6031
5.5063e-05,-23.07,-6.7713
5.5782e-05,-23.35,-6.9415
5.65e-05,-23.63,-7.1137
5.7218e-05,-23.909,-7.288
5.809e-05,-24.248,-7.5023
5.8962e-05,-24.586,-7.7195
5.9834e-05,-24.923,-7.9397
6.0707e-05,-25.259,-8.1629
6.1579e-05,-25.595,-8.3889
6.2451e-05,-25.93,-8.6179
6.3323e-05,-26.264,-8.8498
6.4195e-05,-26.597,-9.0846
6.5067e-05,-26.93,-9.3223
6.594e-05,-27.262,-9.5629
6.7001e-05,-27.664,-9.8595
6.8061e-05,-28.066,-10.16
6.9122e-05,-28.467,-10.465
7.0183e-05,-28.866,-10.775
7.1244e-05,-29.265,-11.088
7.2305e-05,-29.662,-11.406
7.3594e-05,-30.143,-11.798
7.4882e-05,-30.623,-12.195
7.617e-05,-31.101,-12.599
7.7459e-05,-31.577,-13.009
7.8747e-05,-32.052,-13.425
8.0035e-05,-32.525,-13.848
8.1324e-05,-32.997,-14.276
8.2612e-05,-33.467,-14.71
8.39e-05,-33.936,-15.151
8.5189e-05,-34.403,-15.597
8.6477e-05,-34.868,-16.05
8.7765e-05,-35.332,-16.508
8.9054e-05,-35.795,-16.973
9.0342e-05,-36.256,-17.443
9.163e-05,-36.715,-17.919
9.2919e-05,-37.173,-18.401
9.4207e-05,-37.63,-18.889
9.5495e-05,-38.085,-19.383
9.6784e-05,-38.538,-19.883
9.8072e-05,-38.99,-20.389
9.936e-05,-39.441,-20.9
0.00010065,-39.89,-21.417
0.00010194,-40.337,-21.94
0.00010323,-40.783,-22.469
0.00010451,-41.227,-23.003
0.0001058,-41.671,-23.543
0.00010709,-42.112,-24.089
0.00010838,-42.552,-24.641
0.00010967,-42.991,-25.198
0.00011096,-43.428,-25.761
0.00011224,-43.864,-26.329
0.00011353,-44.298,-26.903
0.00011482,-44.731,-27.483
0.00011611,-45.162,-28.068
0.0001174,-45.592,-28.659
0.00011895,-46.107,-29.376
0.00012049,-46.619,-30.101
0.00012204,-47.13,-30.834
0.00012359,-47.639,-31.575
0.00012514,-48.145,-32.324
0.00012669,-48.65,-33.081
0.00012824,-49.152,-33.845
0.00012979,-49.652,-34.618
0.00013133,-50.151,-35.398
0.00013288,-50.647,-36.185
0.00013443,-51.141,-36.981
0.00013598,-51.633,-37.784
0.00013753,-52.124,-38.594
0.00013908,-52.612,-39.412
0.00014063,-53.098,-40.238
0.00014217,-53.582,-41.071
0.00014372,-54.064,-41.912
0.00014527,-54.544,-42.76
0.00014682,-55.023,-43.615
0.00014837,-55.499,-44.478
0.00014992,-55.973,-45.348
0.00015147,-56.445,-46.226
0.00015301,-56.915,-47.11
0.00015456,-57.383,-48.002
0.00015611,-57.85,-48.902
0.00015766,-58.314,-49.808
0.00015921,-58.776,-50.722
0.00016076,-59.236,-51.642
0.00016231,-59.695,-52.57
0.00016385,-60.151,-53.505
0.0001654,-60.606,-54.447
0.00016695,-61.058,-55.396
0.0001685,-61.509,-56.352
0.00017005,-61.957,-57.315
0.0001716,-62.404,-58.285
0.00017315,-62.849,-59.261
0.00017469,-63.291,-60.245
0.00017624,-63.732,-61.235
0.00017779,-64.171,-62.232
0.00017934,-64.608,-63.236
0.00018089,-65.043,-64.247
0.00018244,-65.476,-65.264
0.00018399,-65.907,-66.288
0.00018554,-66.337,-67.319
0.00018708,-66.764,-68.356
0.00018863,-67.189,-69.4
0.00019018,-67.613,-70.45
0.00019173,-68.034,-71.507
0.00019328,-68.454,-72.571
0.00019483,-68.871,-73.641
0.00019638,-69.287,-74.717
0.00019792,-69.701,-75.8
0.00019947,-70.113,-76.889
0.00020102,-70.523,-77.984
0.00020257,-70.931,-79.086
0.00020412,-71.337,-80.194
0.00020567,-71.741,-81.309
0.00020722,-72.144,-82.429
0.00020876,-72.544,-83.556
0.00021031,-72.943,-84.689
0.00021186,-73.339,-85.828
0.00021341,-73.734,-86.973
0.00021496,-74.127,-88.125
0.00021651,-74.517,-89.282
0.00021806,-74.906,-90.445
0.0002196,-75.293,-91.614
0.00022115,-75.678,-92.79
0.0002227,-76.061,-93.971
0.00022425,-76.442,-95.158
0.0002258,-76.821,-96.351
0.00022735,-77.199,-97.55
0.00022924,-77.658,-99.026
0.00023114,-78.115,-100.51
0.00023304,-78.569,-102.01
0.00023494,-79.019,-103.51
0.00023683,-79.467,-105.02
0.00023873,-79.912,-106.54
0.00024063,-80.354,-108.07
0.00024252,-80.793,-109.6
0.00024442,-81.229,-111.15
0.00024632,-81.662,-112.7
0.00024822,-82.092,-114.26
0.00025011,-82.519,-115.83
0.00025201,-82.943,-117.41
0.00025391,-83.365,-118.99
0.00025581,-83.783,-120.58
0.0002577,-84.198,-122.18
0.0002596,-84.61,-123.79
0.0002615,-85.019,-125.41
0.00026339,-85.425,-127.03
0.00026529,-85.828,-128.66
0.00026719,-86.228,-130.3
0.00026909,-86.624,-131.95
0.00027098,-87.018,-133.6
0.00027288,-87.408,-135.27
0.00027478,-87.796,-136.93
0.00027667,-88.18,-138.61
0.00027857,-88.561,-140.29
0.00028047,-88.939,-141.98
0.00028237,-89.314,-143.68
0.00028426,-89.685,-145.39
0.00028616,-90.054,-147.1
0.00028806,-90.419,-148.82
0.00028996,-90.781,-150.54
0.00029185,-91.139,-152.28
0.00029375,-91.494,-154.01
0.00029565,-91.846,-155.76
0.00029754,-92.195,-157.51
0.00029944,-92.54,-159.27
0.00030134,-92.882,-161.04
0.00030324,-93.221,-162.81
0.00030513,-93.556,-164.59
0.00030703,-93.888,-166.37
0.00030893,-94.216,-168.16
0.00031082,-94.541,-169.96
0.00031272,-94.862,-171.76
0.00031462,-95.18,-173.57
0.00031652,-95.494,-175.39
0.00031841,-95.805,-177.21
0.00032031,-96.112,-179.03
0.00032221,-96.416,-180.87
0.00032411,-96.715,-182.7
0.000326,-97.012,-184.55
0.0003279,-97.304,-186.4
0.0003298,-97.593,-188.25
0.00033169,-97.878,-190.11
0.00033359,-98.159,-191.98
0.00033549,-98.437,-193.85
0.00033739,-98.711,-195.72
0.00033928,-98.981,-197.61
0.00034118,-99.247,-199.49
0.00034308,-99.509,-201.38
0.00034497,-99.767,-203.28
0.00034687,-100.02,-205.18
0.00034877,-100.27,-207.08
0.00035067,-100.52,-208.99
0.00035256,-100.76,-210.91
0.00035446,-101,-212.83
0.00035636,-101.23,-214.75
0.00035826,-101.46,-216.68
0.00036015,-101.69,-218.61
0.00036205,-101.91,-220.55
0.00036395,-102.12,-222.49
0.00036584,-102.34,-224.44
0.00036774,-102.55,-226.38
0.00036964,-102.75,-228.34
0.00037154,-102.95,-230.29
0.00037343,-103.14,-232.25
0.00037533,-103.34,-234.22
0.00037723,-103.52,-236.18
0.00037912,-103.7,-238.16
0.00038102,-103.88,-240.13
0.00038292,-104.05,-242.11
0.00038482,-104.22,-244.09
0.00038671,-104.38,-246.07
0.00038861,-104.54,-248.06
0.00039051,-104.7,-250.05
0.00039241,-104.84,-252.04
0.0003943,-104.99,-254.04
0.0003962,-105.13,-256.03
0.0003981,-105.26,-258.03
0.00039999,-105.39,-260.04
0.00040189,-105.51,-262.04
0.00040379,-105.63,-264.05
0.00040569,-105.75,-266.06
0.00040758,-105.85,-268.07
0.00040948,-105.96,-270.08
0.00041138,-106.06,-272.1
0.00041327,-106.15,-274.12
0.00041517,-106.24,-276.14
0.00041707,-106.32,-278.16
0.00041897,-106.4,-280.18
0.00042086,-106.47,-282.2
0.00042276,-106.53,-284.23
0.00042466,-106.59,-286.25
0.00042656,-106.65,-288.28
0.00042845,-106.7,-290.31
0.00043035,-106.74,-292.34
0.00043225,-106.78,-294.36
0.00043414,-106.81,-296.39
0.00043604,-106.83,-298.43
0.00043794,-106.85,-300.46
0.00043984,-106.87,-302.49
0.00044173,-106.88,-304.52
0.00044363,-106.88,-306.55
0.00044553,-106.87,-308.58
0.00044742,-106.86,-310.61
0.00044932,-106.85,-312.64
0.00045122,-106.83,-314.67
0.00045312,-106.8,-316.7
0.00045501,-106.76,-318.73
0.00045691,-106.72,-320.76
0.00045881,-106.67,-322.79
0.00046071,-106.62,-324.82
0.0004626,-106.56,-326.84
0.00046489,-106.48,-329.28
0.00046717,-106.38,-331.71
0.00046945,-106.28,-334.14
0.00047174,-106.17,-336.57
0.00047402,-106.05,-339
0.0004763,-105.92,-341.43
0.00047859,-105.78,-343.85
0.00048087,-105.63,-346.26
0.00048316,-105.47,-348.68
0.00048544,-105.3,-351.09
0.00048772,-105.12,-353.49
0.00049001,-104.93,-355.9
0.00049229,-104.73,-358.29
0.00049457,-104.51,-360.69
0.00049686,-104.29,-363.07
0.00049914,-104.06,-365.45
0.00050143,-103.81,-367.83
0.00050371,-103.56,-370.2
0.00050599,-103.29,-372.57
0.00050828,-103.01,-374.93
0.00051056,-102.73,-377.28
0.00051284,-102.43,-379.62
0.00051476,-102.17,-381.59
0.00051476,-102.17,-381.59
0.00051705,-101.85,-383.92
0.00051933,-101.52,-386.25
0.00052162,-101.17,-388.56
0.0005239,-100.82,-390.87
0.00052618,-100.45,-393.17
0.00052847,-100.08,-395.47
0.00053075,-99.688,-397.75
0.00053303,-99.288,-400.02
0.00053532,-98.876,-402.29
0.0005376,-98.452,-404.54
0.00053989,-98.016,-406.79
0.00054217,-97.568,-409.03
0.00054445,-97.109,-411.25
0.00054674,-96.637,-413.46
0.00054902,-96.154,-415.67
0.0005513,-95.658,-417.86
0.00055359,-95.15,-420.04
0.00055587,-94.63,-422.21
0.00055815,-94.098,-424.37
0.00056044,-93.553,-426.51
0.00056272,-92.997,-428.64
0.00056501,-92.427,-430.76
0.00056729,-91.846,-432.87
0.00056957,-91.252,-434.96
0.00057186,-90.646,-437.04
0.00057414,-90.027,-439.1
0.00057642,-89.396,-441.15
0.00057871,-88.753,-443.19
0.00058099,-88.097,-445.21
0.00058328,-87.428,-447.21
0.00058556,-86.748,-449.2
0.00058784,-86.054,-451.18
0.00059013,-85.348,-453.14
0.00059241,-84.63,-455.08
0.00059469,-83.899,-457
0.00059698,-83.155,-458.91
0.00059926,-82.399,-460.8
0.00060154,-81.631,-462.68
0.00060383,-80.85,-464.53
0.00060611,-80.057,-466.37
0.0006084,-79.251,-468.19
0.00061068,-78.433,-469.99
0.00061296,-77.603,-471.77
0.00061525,-76.76,-473.54
0.00061753,-75.905,-475.28
0.00061981,-75.038,-477.01
0.0006221,-74.158,-478.71
0.00062438,-73.266,-480.39
0.00062667,-72.362,-482.06
0.00062895,-71.446,-483.7
0.00063123,-70.519,-485.32
0.00063352,-69.579,-486.92
0.0006358,-68.627,-488.5
0.00063808,-67.663,-490.06
0.00064037,-66.688,-491.59
0.00064265,-65.701,-493.1
0.00064493,-64.702,-494.59
0.00064722,-63.692,-496.06
0.00064997,-62.461,-497.79
0.00065271,-61.214,-499.49
0.00065546,-59.951,-501.15
0.00065821,-58.672,-502.78
0.00066095,-57.377,-504.38
0.0006637,-56.066,-505.93
0.00066645,-54.74,-507.46
0.0006692,-53.398,-508.94
0.00067194,-52.041,-510.39
0.00067469,-50.67,-511.8
0.00067685,-49.578,-512.88
0.00067902,-48.477,-513.95
0.00068119,-47.368,-514.98
0.00068335,-46.249,-516
0.00068552,-45.122,-516.99
0.00068768,-43.987,-517.95
0.00068985,-42.843,-518.89
0.00069201,-41.69,-519.8
